updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-02-27T07:37:53.281895+0000,dab55bec741e2a2198764f6b83239ada,452448000,/data_local/images/DTS/2013A-9999/DECam_00969170.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_072608_ori.fits.fz,202.481804166667,-49.1166669444444,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-27,2021-02-27T07:26:08.105218+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T07:25:17.423511+0000,c692e1b464b84359ba745face50b8287,454515840,/data_local/images/DTS/2013A-9999/DECam_00969161.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_071251_ori.fits.fz,201.818775,-48.6902780555556,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-27,2021-02-27T07:12:51.489241+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T07:36:51.964922+0000,a95ebae984277232b0508c26d2ddf7ca,452926080,/data_local/images/DTS/2013A-9999/DECam_00969169.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_072439_ori.fits.fz,201.639841666667,-49.2116669444444,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-27,2021-02-27T07:24:39.181103+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-03-06T01:15:20.369429+0000,d7bae8aecd08e7ad8577d3584e812b88,467663040,/data_local/images/DTS/2020B-0288/DECam_00971665.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_010016_ori.fits.fz,133.539404166667,-0.815181111111111,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-06,2021-03-06T01:00:16.455158+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-06T00:15:24.416901+0000,a8395dbf48973343ef1235af9c35bcc5,465569280,/data_local/images/DTS/2020B-0288/DECam_00971659.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_000653_ori.fits.fz,129.427591666667,2.615155,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-06,2021-03-06T00:06:53.426579+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-10T06:14:09.884101+0000,14e0254a21634eb8d26e534a41ff8e7f,462055680,/data_local/images/DTS/2020B-0288/DECam_00971905.fits.fz,/net/archive/mtn/20210306/ct4m/2020B-0288/c4d_210307_030559_ori.fits.fz,150.153241666667,2.292055,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-07,2021-03-07T03:05:59.060520+0000,[14726],Leauthaud,2020B-0288,2021-03-06,decam,ct4m,ct,,object,raw,image,,2021-03-06,[None]
2021-03-10T06:24:05.099543+0000,796127f1b695967f7afdcdee46744adb,466706880,/data_local/images/DTS/2020B-0288/DECam_00971915.fits.fz,/net/archive/mtn/20210306/ct4m/2020B-0288/c4d_210307_044201_ori.fits.fz,157.935195833333,-1.05031611111111,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-07,2021-03-07T04:42:01.982453+0000,[14726],Leauthaud,2020B-0288,2021-03-06,decam,ct4m,ct,,object,raw,image,,2021-03-06,[None]
2021-03-06T02:26:50.358987+0000,b0263cfcaa940ac6a694d7aaf7b9cc36,355083840,/data_local/images/DTS/2020B-0288/DECam_00971674.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_021715_ori.fits.fz,150.081658333333,2.17831611111111,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-06,2021-03-06T02:17:15.799980+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-06T04:55:17.273874+0000,580d5c93317cae414389352405e5b499,483246720,/data_local/images/DTS/2020B-0288/DECam_00971693.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_043332_ori.fits.fz,150.177016666667,2.20782388888889,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-06,2021-03-06T04:33:32.350863+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-06T01:50:16.786430+0000,011005ce7fdec317d37d53bc3847c6b4,466960320,/data_local/images/DTS/2020B-0288/DECam_00971669.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_013352_ori.fits.fz,150.092475,2.12912194444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-06,2021-03-06T01:33:52.398623+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-10T08:48:22.571997+0000,e77deede1e58d2539a3aa9480fd0f35e,686410560,/data_local/images/DTS/2020B-0288/DECam_00972453.fits.fz,/net/archive/mtn/20210309/ct4m/2020B-0288/c4d_210309_195205_fri.fits.fz,234.748545833333,-28.51146,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-09,2021-03-09T19:52:05.670412+0000,[14726],Leauthaud,2020B-0288,2021-03-09,decam,ct4m,ct,,dome flat,raw,image,,2021-03-09,[None]
2021-03-10T09:16:34.595834+0000,43995ca713d6eefa3110ca79bdd56ceb,464869440,/data_local/images/DTS/2020B-0288/DECam_00972570.fits.fz,/net/archive/mtn/20210309/ct4m/2020B-0288/c4d_210310_031515_ori.fits.fz,145.825933333333,-0.896286111111111,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-10,2021-03-10T03:15:15.036535+0000,[14726],Leauthaud,2020B-0288,2021-03-09,decam,ct4m,ct,,object,raw,image,,2021-03-09,[None]
2021-02-27T04:13:50.308208+0000,05879492ccb6a796d9f28ce92769acc1,351420480,/data_local/images/DTS/2013A-9999/DECam_00969005.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040318_ori.fits.fz,157.867454166667,-35.21769,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:03:18.853087+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:14:07.456081+0000,56b84af6ade044b4033cb28aa5a7ea39,351757440,/data_local/images/DTS/2013A-9999/DECam_00969010.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040607_ori.fits.fz,158.057908333333,-35.05339,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:06:07.238001+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:15:22.063837+0000,d1b458f8bb7bc7b5a85392c7fb9f2c40,351426240,/data_local/images/DTS/2013A-9999/DECam_00969009.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040532_ori.fits.fz,158.438458333333,-35.05339,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:05:32.907188+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-25T19:02:29.279132+0000,51bdfe2676a99a47c0a663aeee01ad45,648095040,/data_local/images/DTS/2013A-9999/DECam_00968394.fits.fz,/net/archive/mtn/20210225/ct4m/2013A-9999/c4d_210225_184551_fri.fits.fz,214.698495833333,16.2226,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-25,2021-02-25T18:45:51.302933+0000,[3899],Walker,2013A-9999,2021-02-25,decam,ct4m,ct,,dome flat,raw,image,,2021-02-25,[None]
2021-02-25T19:03:45.776140+0000,fc3bfe52f697c9170a1cd596b909d219,648002880,/data_local/images/DTS/2013A-9999/DECam_00968395.fits.fz,/net/archive/mtn/20210225/ct4m/2013A-9999/c4d_210225_184715_fri.fits.fz,214.698495833333,16.2226,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-25,2021-02-25T18:47:15.605106+0000,[3899],Walker,2013A-9999,2021-02-25,decam,ct4m,ct,,dome flat,raw,image,,2021-02-25,[None]
2021-02-27T04:14:08.926733+0000,61522518a7ec4894a8fbb3aff9f4d726,351573120,/data_local/images/DTS/2013A-9999/DECam_00969008.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040459_ori.fits.fz,158.818995833333,-35.05339,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:04:59.741610+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:30:54.302351+0000,539a72a64ab36403b6b6174222e12485,350179200,/data_local/images/DTS/2013A-9999/DECam_00969043.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_042425_ori.fits.fz,158.249758333333,-36.3678,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:24:25.915265+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:25:20.967796+0000,a44804f6510453f415ffdae83facf67b,351316800,/data_local/images/DTS/2013A-9999/DECam_00969022.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041241_ori.fits.fz,158.057908333333,-35.7106,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:12:41.923366+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:18:53.233477+0000,a68f27b2cf997972fc83566d6f7e3406,351673920,/data_local/images/DTS/2013A-9999/DECam_00969020.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041137_ori.fits.fz,158.822116666667,-35.7106,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:11:37.849553+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-28T00:19:03.847658+0000,525ebeb75aa750d5798d4b9ac988da5a,650557440,/data_local/images/DTS/2021A-0149/DECam_00969610.fits.fz,/net/archive/mtn/20210227/ct4m/2021A-0149/c4d_210227_183359_fri.fits.fz,221.748345833333,1.03805,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-27,2021-02-27T18:33:59.474484+0000,[None],,2021A-0149,2021-02-27,decam,ct4m,ct,,dome flat,raw,image,,2021-02-27,[None]
2021-03-03T19:18:27.909411+0000,9b792707cd3c6c3db3fa3e703602282c,648699840,/data_local/images/DTS/2019A-0305/DECam_00970836.fits.fz,/net/archive/mtn/20210303/ct4m/2019A-0305/c4d_210303_191115_fri.fits.fz,221.387504166667,-45.2594438888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-03,2021-03-03T19:11:15.012420+0000,[4512],Drlica-Wagner,2019A-0305,2021-03-03,decam,ct4m,ct,,dome flat,raw,image,,2021-03-03,[None]
2021-02-27T04:25:14.078731+0000,1f4f2cc6193e184e8e9378588f32e9bb,351676800,/data_local/images/DTS/2013A-9999/DECam_00969028.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041601_ori.fits.fz,157.866675,-35.8749,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:16:01.138755+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:25:16.798584+0000,65db3b73099e8a14291a38421142400e,351728640,/data_local/images/DTS/2013A-9999/DECam_00969019.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041103_ori.fits.fz,159.204208333333,-35.7106,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:11:03.420711+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:26:23.244554+0000,bd9312f536dcea65cd307514a58db763,352316160,/data_local/images/DTS/2013A-9999/DECam_00969018.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_041029_ori.fits.fz,157.678154166667,-34.72478,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:10:29.660184+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:18:47.579084+0000,38beb9a7022e2b1151b6d34a4f83c86a,351547200,/data_local/images/DTS/2013A-9999/DECam_00969014.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040819_ori.fits.fz,158.247991666667,-34.88909,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:08:19.436509+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:31:52.566036+0000,baaf564a7a0358cd7907e899b39a4cb0,350421120,/data_local/images/DTS/2013A-9999/DECam_00969045.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_042533_ori.fits.fz,157.482391666667,-36.3678,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:25:33.116881+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-26T04:32:27.198698+0000,bd8316aa9a27a39dd6849afb6bd65aee,431326080,/data_local/images/DTS/2013A-9999/DECam_00968614.fits.fz,/net/archive/mtn/20210225/ct4m/2013A-9999/c4d_210226_042112_ori.fits.fz,146.340825,-30.2027769444444,N708 DECam c0012 7080.0 400.0,,,15.0,2021-02-26,2021-02-26T04:21:12.125073+0000,[3899],Walker,2013A-9999,2021-02-25,decam,ct4m,ct,,object,raw,image,,2021-02-25,[None]
2021-02-26T19:01:36.356777+0000,b9cdbdc5f49c49458a8b2e20e25afba6,649117440,/data_local/images/DTS/2013A-9999/DECam_00968729.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210226_184824_fri.fits.fz,237.792195833333,-10.0315,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-26,2021-02-26T18:48:24.077338+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,dome flat,raw,image,,2021-02-26,[None]
2021-02-26T19:00:35.708788+0000,0c21392e69e84cacdb972f1d03ab25c8,649402560,/data_local/images/DTS/2013A-9999/DECam_00968730.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210226_184948_fri.fits.fz,237.792195833333,-10.0315,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-26,2021-02-26T18:49:48.254205+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,dome flat,raw,image,,2021-02-26,[None]
2021-02-27T04:08:04.126771+0000,79c45ab4ddf89461ac3d121a10339e81,351630720,/data_local/images/DTS/2013A-9999/DECam_00968998.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_035926_ori.fits.fz,158.248575,-35.38199,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T03:59:26.795058+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:14:11.830851+0000,8171d87d598144dc4190b42dc4563919,351504000,/data_local/images/DTS/2013A-9999/DECam_00969007.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040424_ori.fits.fz,157.105604166667,-35.21769,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:04:24.991097+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T04:14:16.509763+0000,a0e630cda28bb5a068ca4b27e7b16316,351573120,/data_local/images/DTS/2013A-9999/DECam_00969002.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_040137_ori.fits.fz,159.010229166667,-35.21769,N708 DECam c0012 7080.0 400.0,,,5.0,2021-02-27,2021-02-27T04:01:37.409442+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T07:36:50.743777+0000,a77f72c63cfe34e5041e9047994a0bd6,456145920,/data_local/images/DTS/2013A-9999/DECam_00969171.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_072738_ori.fits.fz,201.952995833333,-48.1613888888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-27,2021-02-27T07:27:38.015826+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-02-27T07:37:52.012239+0000,c115080deee6e1f4fcd7f644abc6f3bb,453306240,/data_local/images/DTS/2013A-9999/DECam_00969164.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210227_071716_ori.fits.fz,201.639,-48.9077780555556,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-27,2021-02-27T07:17:16.029585+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,object,raw,image,,2021-02-26,[None]
2021-03-04T19:11:35.517359+0000,a4d4ed1967128544738f8a1e2aa5f4f5,648469440,/data_local/images/DTS/2021A-0149/DECam_00971175.fits.fz,/net/archive/mtn/20210304/ct4m/2021A-0149/c4d_210304_185142_fri.fits.fz,221.387504166667,-45.2594438888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-04,2021-03-04T18:51:42.523676+0000,[4779],Zenteno,2021A-0149,2021-03-04,decam,ct4m,ct,,dome flat,raw,image,,2021-03-04,[None]
2021-03-06T03:00:18.341837+0000,725d72f76f17dcd285519d6226b51721,464544000,/data_local/images/DTS/2020B-0288/DECam_00971677.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_023943_ori.fits.fz,150.146941666667,2.14871888888889,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-06,2021-03-06T02:39:43.007772+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-06T00:15:25.767507+0000,b546dad98f18b630211f596dfb2663ed,451408320,/data_local/images/DTS/2020B-0288/DECam_00971660.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_000822_ori.fits.fz,129.427591666667,2.615155,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-06,2021-03-06T00:08:22.771979+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-06T01:30:17.632551+0000,cb7b16d5addd2da8a4f14c5399e5d11e,468815040,/data_local/images/DTS/2020B-0288/DECam_00971667.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_011257_ori.fits.fz,150.031395833333,2.15610611111111,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-06,2021-03-06T01:12:57.078899+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-06T02:11:29.988858+0000,b378d382b4d146d9925859de6f1ed2b6,355901760,/data_local/images/DTS/2020B-0288/DECam_00971672.fits.fz,/net/archive/mtn/20210305/ct4m/2020B-0288/c4d_210306_020517_ori.fits.fz,150.052108333333,2.12628111111111,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-06,2021-03-06T02:05:17.837757+0000,[14726],Leauthaud,2020B-0288,2021-03-05,decam,ct4m,ct,,object,raw,image,,2021-03-05,[None]
2021-03-10T15:27:25.751680+0000,51a19502ba51d6ad8c2cc48cb2b67f4c,684135360,/data_local/images/DTS/2021A-0117/DECam_00972215.fits.fz,/net/archive/mtn/20210308/ct4m/2021A-0117/c4d_210308_191549_fri.fits.fz,234.748545833333,-28.51146,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-08,2021-03-08T19:15:49.265875+0000,[4284],Kotulla,2021A-0117,2021-03-08,decam,ct4m,ct,,dome flat,raw,image,,2021-03-08,[None]
2021-02-26T19:07:02.040131+0000,4a3c428c82c0d28f7225ff0dd271d233,649428480,/data_local/images/DTS/2013A-9999/DECam_00968732.fits.fz,/net/archive/mtn/20210226/ct4m/2013A-9999/c4d_210226_185236_fri.fits.fz,237.792195833333,-10.0315,N708 DECam c0012 7080.0 400.0,,,60.0,2021-02-26,2021-02-26T18:52:36.341425+0000,[3899],Walker,2013A-9999,2021-02-26,decam,ct4m,ct,,dome flat,raw,image,,2021-02-26,[None]
2021-03-10T06:32:51.131357+0000,bf19c87c8bd67d337ba836efa1e209d8,427538880,/data_local/images/DTS/2020B-0288/DECam_00971886.fits.fz,/net/archive/mtn/20210306/ct4m/2020B-0288/c4d_210307_000911_ori.fits.fz,129.495720833333,-0.636058888888889,N708 DECam c0012 7080.0 400.0,,,60.0,2021-03-07,2021-03-07T00:09:11.476800+0000,[14726],Leauthaud,2020B-0288,2021-03-06,decam,ct4m,ct,,object,raw,image,,2021-03-06,[None]
2021-03-10T06:46:53.330848+0000,4e1aaf544ab5cbc5b240174355ba7fd1,685347840,/data_local/images/DTS/2020B-0288/DECam_00972010.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210307_193447_fri.fits.fz,204.253829166667,-29.9490938888889,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-07,2021-03-07T19:34:47.972748+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,dome flat,raw,image,,2021-03-07,[None]
2021-03-10T06:37:33.344382+0000,f56a0cf425366b1572b72cd04e677e49,463495680,/data_local/images/DTS/2020B-0288/DECam_00971902.fits.fz,/net/archive/mtn/20210306/ct4m/2020B-0288/c4d_210307_023435_ori.fits.fz,150.146833333333,2.22140888888889,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-07,2021-03-07T02:34:35.037490+0000,[14726],Leauthaud,2020B-0288,2021-03-06,decam,ct4m,ct,,object,raw,image,,2021-03-06,[None]
2021-03-10T06:37:37.285660+0000,f7138ff14d15b324043e6611dbbd078c,463855680,/data_local/images/DTS/2020B-0288/DECam_00971903.fits.fz,/net/archive/mtn/20210306/ct4m/2020B-0288/c4d_210307_024502_ori.fits.fz,150.167191666667,2.21776888888889,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-07,2021-03-07T02:45:02.762588+0000,[14726],Leauthaud,2020B-0288,2021-03-06,decam,ct4m,ct,,object,raw,image,,2021-03-06,[None]
2021-03-10T06:37:34.054788+0000,fc172b0369a31aaf7f227a58f324d6c4,463924800,/data_local/images/DTS/2020B-0288/DECam_00971907.fits.fz,/net/archive/mtn/20210306/ct4m/2020B-0288/c4d_210307_032659_ori.fits.fz,150.211395833333,2.26684111111111,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-07,2021-03-07T03:26:59.062253+0000,[14726],Leauthaud,2020B-0288,2021-03-06,decam,ct4m,ct,,object,raw,image,,2021-03-06,[None]
2021-03-10T06:53:05.289449+0000,8d80f50b382193f291e9d053b2b31374,685647360,/data_local/images/DTS/2020B-0288/DECam_00972012.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210307_193856_fri.fits.fz,204.253829166667,-29.9490938888889,N708 DECam c0012 7080.0 400.0,,,100.0,2021-03-07,2021-03-07T19:38:56.290495+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,dome flat,raw,image,,2021-03-07,[None]
2021-03-10T07:15:30.947669+0000,8e96b9ce5fdb08fb0d06de192c68423d,465266880,/data_local/images/DTS/2020B-0288/DECam_00972120.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210308_022119_ori.fits.fz,135.127395833333,-0.838636944444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-08,2021-03-08T02:21:19.484606+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,object,raw,image,,2021-03-07,[None]
2021-03-10T07:15:40.631850+0000,9f6cdc4480c879d46d0de2e56c6d1c02,465379200,/data_local/images/DTS/2020B-0288/DECam_00972114.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210308_011822_ori.fits.fz,130.884,0.892348888888889,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-08,2021-03-08T01:18:22.968389+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,object,raw,image,,2021-03-07,[None]
2021-03-10T07:15:05.287859+0000,c75ba2b50fbb806f8e994b986b8697b2,467516160,/data_local/images/DTS/2020B-0288/DECam_00972116.fits.fz,/net/archive/mtn/20210307/ct4m/2020B-0288/c4d_210308_013921_ori.fits.fz,132.660645833333,-0.677691944444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-08,2021-03-08T01:39:21.482399+0000,[14726],Leauthaud,2020B-0288,2021-03-07,decam,ct4m,ct,,object,raw,image,,2021-03-07,[None]
2021-03-10T08:21:10.230091+0000,0b9c1a26bafeeab1c66d3c7c73b3e3f0,471006720,/data_local/images/DTS/2020B-0288/DECam_00972345.fits.fz,/net/archive/mtn/20210308/ct4m/2020B-0288/c4d_210309_012105_ori.fits.fz,133.4643,0.942191944444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-09,2021-03-09T01:21:05.893958+0000,[14726],Leauthaud,2020B-0288,2021-03-08,decam,ct4m,ct,,object,raw,image,,2021-03-08,[None]
2021-03-10T08:20:56.575889+0000,5c9ce4be77e27153f500c0959dfc412e,473901120,/data_local/images/DTS/2020B-0288/DECam_00972341.fits.fz,/net/archive/mtn/20210308/ct4m/2020B-0288/c4d_210309_003911_ori.fits.fz,131.878875,0.964541944444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-09,2021-03-09T00:39:11.200583+0000,[14726],Leauthaud,2020B-0288,2021-03-08,decam,ct4m,ct,,object,raw,image,,2021-03-08,[None]
2021-03-10T08:24:39.348849+0000,76b2b50f65b45540f1c9bd18d8ca7101,469252800,/data_local/images/DTS/2020B-0288/DECam_00972351.fits.fz,/net/archive/mtn/20210308/ct4m/2020B-0288/c4d_210309_022357_ori.fits.fz,138.022529166667,-0.842553055555556,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-09,2021-03-09T02:23:57.531124+0000,[14726],Leauthaud,2020B-0288,2021-03-08,decam,ct4m,ct,,object,raw,image,,2021-03-08,[None]
2021-03-10T08:24:56.166180+0000,87172790a9db37802c8483afc60fa877,469656000,/data_local/images/DTS/2020B-0288/DECam_00972358.fits.fz,/net/archive/mtn/20210308/ct4m/2020B-0288/c4d_210309_033742_ori.fits.fz,149.134183333333,-0.929903055555556,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-09,2021-03-09T03:37:42.780684+0000,[14726],Leauthaud,2020B-0288,2021-03-08,decam,ct4m,ct,,object,raw,image,,2021-03-08,[None]
2021-03-10T08:25:12.066056+0000,ba6db35d887dbf773478e5d12e80036b,470836800,/data_local/images/DTS/2020B-0288/DECam_00972360.fits.fz,/net/archive/mtn/20210308/ct4m/2020B-0288/c4d_210309_034939_ori.fits.fz,150.032758333333,2.10824694444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-03-09,2021-03-09T03:49:39.846778+0000,[14726],Leauthaud,2020B-0288,2021-03-08,decam,ct4m,ct,,object,raw,image,,2021-03-08,[None]
